refseq	position
Chr_01	2423
Chr_01	2426
Chr_01	2432
Chr_01	2435
Chr_01	2438
Chr_01	2447
Chr_01	2462
Chr_01	2466
Chr_01	2468
Chr_01	2470
Chr_01	2471
Chr_01	2472
Chr_01	2476
Chr_01	2483
Chr_01	2498
Chr_01	2501
Chr_01	2510
Chr_01	2512
Chr_01	2513
Chr_01	2522
Chr_01	2525
Chr_01	2528
Chr_01	2552
Chr_01	2564
Chr_01	2577
Chr_01	2582
Chr_01	2585
Chr_01	2587
Chr_01	2594
Chr_01	2603
Chr_01	2606
Chr_01	2612
Chr_01	2615
Chr_01	2630
Chr_01	2636
Chr_01	2639
Chr_01	2642
Chr_01	2651
Chr_01	2654
Chr_01	2657
Chr_01	2663
Chr_01	2684
Chr_01	2690
Chr_01	2696
Chr_01	2699
Chr_01	2702
Chr_01	2705
Chr_01	2708
Chr_01	2711
Chr_01	2714
Chr_01	2717
Chr_01	2721
Chr_01	2726
Chr_01	2734
Chr_01	2735
Chr_01	2741
Chr_01	2743
Chr_01	2744
Chr_01	2750
Chr_01	2753
Chr_01	3005
Chr_01	3013
Chr_01	3023
Chr_01	3026
Chr_01	3029
Chr_01	3032
Chr_01	3034
Chr_01	3035
Chr_01	3042
Chr_01	3044
Chr_01	3056
Chr_01	3059
Chr_01	3074
Chr_01	3075
Chr_01	3080
Chr_01	3095
Chr_01	3107
Chr_01	3113
Chr_01	3122
Chr_01	3146
Chr_01	3159
Chr_01	3182
Chr_01	3188
Chr_01	3189
Chr_01	3191
Chr_01	3192
Chr_01	3194
Chr_01	3206
Chr_01	3209
Chr_01	3216
Chr_01	3224
Chr_01	3237
Chr_01	3239
Chr_01	3242
Chr_01	3257
Chr_01	3260
Chr_01	3263
Chr_01	3275
Chr_01	3278
Chr_01	3305
Chr_01	3308
Chr_01	3311
Chr_01	3314
Chr_01	3335
Chr_01	3338
Chr_01	3356
Chr_01	3359
Chr_01	3371
Chr_01	3380
Chr_01	3383
Chr_01	3386
Chr_01	3389
Chr_01	3392
Chr_01	3393
Chr_01	3398
Chr_01	3401
Chr_01	3407
Chr_01	3413
Chr_01	3422
Chr_01	3425
Chr_01	3434
Chr_01	3437
Chr_01	3440
Chr_01	3446
Chr_01	3449
Chr_01	3461
Chr_01	3467
Chr_01	3470
Chr_01	3488
Chr_01	3503
Chr_01	3512
Chr_01	3515
Chr_01	3516
Chr_01	3518
Chr_01	3521
Chr_01	3524
Chr_01	3526
Chr_01	3529
Chr_01	3532
Chr_01	3540
Chr_01	3541
Chr_01	3543
Chr_01	3544
Chr_01	3545
Chr_01	3551
Chr_01	3557
Chr_01	3564
Chr_01	3572
Chr_01	3573
Chr_01	3575
Chr_01	3581
Chr_01	3586
Chr_01	3590
Chr_01	3599
Chr_01	3600
Chr_01	3604
Chr_01	3605
Chr_01	3614
Chr_01	3617
Chr_01	3622
Chr_01	3623
Chr_01	3630
Chr_01	3631
Chr_01	3632
Chr_01	3635
Chr_01	3647
Chr_01	3650
Chr_01	3671
Chr_01	3674
Chr_01	3683
Chr_01	3686
Chr_01	3689
Chr_01	3690
Chr_01	3692
Chr_01	3701
Chr_01	3704
Chr_01	3710
Chr_01	3713
Chr_01	3719
Chr_01	3720
Chr_01	3733
Chr_01	3734
Chr_01	4004
Chr_01	4007
Chr_01	4013
Chr_01	4025
Chr_01	4031
Chr_01	4034
Chr_01	4043
Chr_01	4046
Chr_01	4049
Chr_01	4052
Chr_01	4058
Chr_01	4061
Chr_01	4070
Chr_01	4396
Chr_01	4405
Chr_01	4406
Chr_01	4411
Chr_01	4419
Chr_01	4428
Chr_01	4429
Chr_01	4430
Chr_01	4435
Chr_01	4444
Chr_01	4455
Chr_01	4457
Chr_01	4462
Chr_01	4478
Chr_01	4484
Chr_01	4489
Chr_01	4504
Chr_01	4515
Chr_01	4521
Chr_01	4522
Chr_01	4589
Chr_01	4596
Chr_01	4614
Chr_01	4637
Chr_01	4638
Chr_01	4652
Chr_01	4660
Chr_01	4695
Chr_01	4706
Chr_01	4787
Chr_01	4828
Chr_01	4843
Chr_01	4845
Chr_01	4848
Chr_01	4924
Chr_01	4925
Chr_01	4927
Chr_01	4981
Chr_01	5607
Chr_01	5694
Chr_01	5707
Chr_01	5723
Chr_01	5734
Chr_01	5749
Chr_01	5754
Chr_01	5806
Chr_01	5812
Chr_01	5822
Chr_01	5838
Chr_01	5846
Chr_01	5925
Chr_01	5951
Chr_01	5959
Chr_01	5961
Chr_01	5962
Chr_01	5969
Chr_01	5987
Chr_01	5991
Chr_01	5998
Chr_01	6006
Chr_01	6011
Chr_01	6015
Chr_01	6026
Chr_01	6034
Chr_01	6051
Chr_01	6054
Chr_01	6073
Chr_01	6080
Chr_01	6087
Chr_01	6096
Chr_01	6109
Chr_01	6142
Chr_01	6171
Chr_01	6174
Chr_01	6179
Chr_01	6180
Chr_01	6181
Chr_01	6189
Chr_01	6245
Chr_01	6248
Chr_01	6253
Chr_01	6264
Chr_01	6268
Chr_01	6269
Chr_01	6271
Chr_01	6301
Chr_01	6304
Chr_01	6311
Chr_01	6322
Chr_01	6361
Chr_01	6377
Chr_01	6399
Chr_01	6401
Chr_01	6409
Chr_01	6424
Chr_01	6427
Chr_01	6433
Chr_01	6469
Chr_01	6484
Chr_01	6497
Chr_01	6507
Chr_01	6515
Chr_01	6516
Chr_01	6527
Chr_01	6541
Chr_01	6571
Chr_01	6583
Chr_01	6600
Chr_01	6605
Chr_01	6607
Chr_01	6612
Chr_01	6632
Chr_01	6654
Chr_01	6666
Chr_01	6690
Chr_01	6691
Chr_01	6698
Chr_01	6706
Chr_01	6717
Chr_01	6734
Chr_01	6750
Chr_01	6752
Chr_01	6758
Chr_01	6780
Chr_01	6790
Chr_01	6796
Chr_01	6798
Chr_01	6863
Chr_01	6870
Chr_01	6873
Chr_01	6877
Chr_01	6879
Chr_01	6882
Chr_01	6889
Chr_01	6914
Chr_01	6919
Chr_01	6924
Chr_01	6945
Chr_01	6948
Chr_01	6958
Chr_01	6973
Chr_01	6982
Chr_01	6990
Chr_01	6992
Chr_01	6997
Chr_01	7050
Chr_01	7054
Chr_01	7056
Chr_01	7059
Chr_01	7063
Chr_01	7074
Chr_01	7085
Chr_01	7099
Chr_01	7119
Chr_01	7123
Chr_01	7134
Chr_01	7143
Chr_01	7163
Chr_01	7174
Chr_01	7196
Chr_01	7228
Chr_01	7239
Chr_01	7245
Chr_01	7247
Chr_01	7267
Chr_01	7284
Chr_01	7310
Chr_01	7313
Chr_01	7314
Chr_01	7317
Chr_01	7321
Chr_01	7323
